ID,이름,난이도,계절,위치,최소 사이즈,최대 사이즈,설명,추가설명,아이콘ID
ID,Name,Difficulty,Season,Location,MinSize,MaxSize,Description,DescriptionPlus,IconID
Int,String,Int,Int,Int[],Int,Int,String,String,Int
010201,붕어,1,0,"1, 2",10,40,민물에 사는 대표적인 물고기. 사실은 기억력이 좋다고..!,어딘가에는 붕어로 만든 빵이 있을지도 모른다. 아니면 팥이 들어갈지도...,070201
010202,도다리,2,0,0,15,35,납작한 몸으로 바다 밑을 누비는 물고기. 옆으로 누운 게 아니라 원래 이런 모습이다.,숨바꼭질을 하면 꽤 잘할 것 같다. 다만 이렇게 커서는 모래 이불이 조금 부족할지도...,070201
010203,숭어,3,0,"1, 0",25,70,강과 바다에서 만날 수 있는 은빛 물고기. 어느 쪽이 고향인지는 직접 물어봐야겠다.,물 밖으로 뛰어오르는 모습을 보면 하늘도 궁금한 모양이다. 여행 계획이 꽤 큰데..!,070201
010204,참돔,4,0,0,30,90,붉은빛 비늘이 눈에 띄는 물고기. 이름부터 어딘가 당당하다.,이 정도 크기라면 바닷속에서도 한자리 했을 것 같다. 혹시 내가 중요한 손님을 모셔온 건가...?,070201
010205,피라미,1,1,"1, 2",5,20,작은 몸으로 물속을 헤엄치는 물고기. 작다고 얕보다가는 놓칠지도 모른다.,이만큼 자랐는데도 계속 피라미라고 불러도 되는 걸까. 본인은 조금 억울할지도...,070201
010206,메기,2,1,"1, 2",20,80,넓적한 머리와 기다란 수염이 특징인 물고기. 꽤 어른스러운 인상이다.,수염이 멋지다고 칭찬해줬다. 대답은 없었지만 왠지 뿌듯해 보인다.,070201
010207,농어,3,1,0,30,100,길쭉한 몸을 가진 바다 물고기. 끌어올릴 때는 낚싯대를 단단히 잡자.,한참을 당기고 나니 팔이 뻐근하다. 오늘 운동은 이걸로 충분하겠지..?,070201
010208,민어,4,1,0,40,120,큼직하게 자라는 바다 물고기. 만나기 전에는 가방에 자리가 있는지 확인하자.,둘이 먹기엔 많고 혼자 들기엔 무겁다. 아무래도 마을에 자랑부터 해야겠다.,070201
010209,전어,1,2,0,10,25,은빛 몸을 가진 작은 바다 물고기. 가을 낚시에서 반가운 얼굴이다.,소문에는 구워 먹으면 집 나간 사람도 돌아온다던데... 우선 집에 있는 사람부터 모여들 것 같다.,070201
010210,고등어,2,2,0,20,45,푸른 등과 줄무늬가 눈에 띄는 물고기. 물속에서도 제법 멋을 낸다.,어디서 본 무늬인가 했더니 동네 고양이와 닮았다. 둘을 만나게 하는 건 그만두자.,070201
010211,잉어,3,2,"1, 2",30,100,입가의 수염이 특징인 민물고기. 붕어와 닮았지만 자세히 보면 다르다.,용이 된다는 이야기를 들은 적 있다. 이렇게 큰 녀석이라면 면접 정도는 볼 수 있지 않을까..?,070201
010212,연어,4,2,"1, 0",40,100,바다와 강을 오가는 물고기. 먼 길을 헤엄쳐 온 여행자다.,길을 잃으면 이 녀석에게 물어보고 싶다. 다만 알려주는 길이 전부 물길일 것 같다.,070201
010213,빙어,1,3,2,5,15,차가운 호수에서 만나는 작은 물고기. 은빛 몸이 반짝인다.,이름만 듣고 얼음처럼 차가울 줄 알았다. 생각해보니 물고기는 원래 차갑잖아..!,070201
010214,도루묵,2,3,0,10,25,겨울 바다에서 만나는 물고기. 이름을 소리 내어 읽으면 묘하게 어떤 두더쥐가 생각난다,오늘의 고생이 말짱 도루묵은 아니었다. 이렇게 큰 도루묵이 남았으니까..!,070201
010215,대구,3,3,0,40,100,커다란 입이 눈에 띄는 바다 물고기. 무언가 크게 할 말이 있어 보인다.,입 크기를 보니 내 고민쯤은 한입에 삼켜줄 것 같다. 물론 고민 상담은 받지 않는다.,070201
010216,방어,4,3,0,40,120,노란빛 꼬리가 돋보이는 힘센 바다 물고기. 겨울 낚시의 든든한 상대다.,이름은 방어인데 낚싯대를 당기는 힘은 공격적이다. 이름만 믿고 방심하면 안 되겠어.,070201
